mesh1, mesh2, method, is_rotx, is_roty, is_rotz, is_simple, is_v, value
apple2_lowres,male_lowres,none,true,false,false,false,false,1.84862
apple2_lowres,male_lowres,none,true,false,false,false,true,1.41178
apple2_lowres,orange2_lowres,direct,true,false,false,false,false,1.57185
apple2_lowres,orange2_lowres,direct,true,false,false,false,true,1.13113
apple2_lowres,orange2_lowres,none,true,false,false,false,false,1.57185
apple2_lowres,orange2_lowres,none,true,false,false,false,true,1.13113
apple2_lowres,pear2_lowres,direct,true,false,false,false,false,1.71844
apple2_lowres,pear2_lowres,direct,true,false,false,false,true,1.07423
apple2_lowres,pear2_lowres,none,true,false,false,false,false,1.71844
apple2_lowres,pear2_lowres,none,true,false,false,false,true,1.07423
apple2_lowres,pear2_lowres,poisson,true,false,false,false,false,3.88415
apple2_lowres,pear2_lowres,poisson,true,false,false,false,true,1.07082
apple2_lowres,shark2_lowres,direct,true,false,false,false,false,1.99928
apple2_lowres,shark2_lowres,direct,true,false,false,false,true,1.60137
apple2_lowres,shark2_lowres,none,true,false,false,false,false,2.00099
apple2_lowres,shark2_lowres,none,true,false,false,false,true,1.26906
apple2_lowres,stone_long_lowres,direct,true,false,false,false,false,1.5839
apple2_lowres,stone_long_lowres,direct,true,false,false,false,true,1.05451
apple2_lowres,stone_long_lowres,none,true,false,false,false,false,1.5839
apple2_lowres,stone_long_lowres,none,true,false,false,false,true,1.05451
apple2_lowres,stone_round_lowres,direct,true,false,false,false,false,1.68106
apple2_lowres,stone_round_lowres,direct,true,false,false,false,true,1.10385
apple2_lowres,stone_round_lowres,none,true,false,false,false,false,1.68106
apple2_lowres,stone_round_lowres,none,true,false,false,false,true,1.10385
apple2_lowres,banana3_lowres,direct,false,true,false,false,false,1.70002
apple2_lowres,banana3_lowres,direct,false,true,false,false,true,1.42245
apple2_lowres,banana3_lowres,none,false,true,false,false,false,1.70002
apple2_lowres,banana3_lowres,none,false,true,false,false,true,1.42245
apple2_lowres,banana3_lowres,poisson,false,true,false,false,false,4.5649
apple2_lowres,banana3_lowres,poisson,false,true,false,false,true,1.29578
apple2_lowres,female_lowres,direct,false,true,false,false,false,1.62174
apple2_lowres,female_lowres,direct,false,true,false,false,true,1.33722
apple2_lowres,female_lowres,none,false,true,false,false,false,1.62174
apple2_lowres,female_lowres,none,false,true,false,false,true,1.33722
apple2_lowres,fish2_lowres,direct,false,true,false,false,false,1.68937
apple2_lowres,fish2_lowres,direct,false,true,false,false,true,1.30183
apple2_lowres,fish2_lowres,none,false,true,false,false,false,1.68937
apple2_lowres,fish2_lowres,none,false,true,false,false,true,1.30183
apple2_lowres,fish2_lowres,poisson,false,true,false,false,false,1.84614
apple2_lowres,fish2_lowres,poisson,false,true,false,false,true,1.18077
apple2_lowres,fixed_deer3_lowres,none,false,true,false,false,false,1.71008
apple2_lowres,fixed_deer3_lowres,none,false,true,false,false,true,1.24895
apple2_lowres,horse2_lowres,direct,false,true,false,false,false,1.86295
apple2_lowres,horse2_lowres,direct,false,true,false,false,true,1.48162
apple2_lowres,horse2_lowres,none,false,true,false,false,false,1.86295
